"number","agecat","governorate","gender","q20","q24","q37","geoid"
"428","35-44","جبل لبنان","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"429","Under 25","جبل لبنان","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"430","35-44","جبل لبنان","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا جواب","1620"
"431","45-54","جبل لبنان","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا اعرف","1620"
"432","45-54","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا اعرف","1620"
"433","45-54","جبل لبنان","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","NA","1620"
"434","45-54","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا جواب","1620"
"435","35-44","جبل لبنان","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"436","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"437","35-44","جبل لبنان","Female","راضٍ(ية) تماماً","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"438","35-44","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"439","35-44","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"440","45-54","جبل لبنان","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","NA","1620"
"441","45-54","جبل لبنان","Female","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","NA","1620"
"442","25-34","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"443","Under 25","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا جواب","1620"
"444","45-54","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","غيره، حدد ","1620"
"445","Under 25","جبل لبنان","Female","راضٍ(ية) تماماً","منتمي(ة) إلى حزب/تيار سياسي","لا اعرف","1620"
"446","35-44","جبل لبنان","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","NA","1620"
"447","35-44","جبل لبنان","Female","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع دوائر صغرى","1620"
"448","65 and above","جبل لبنان","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"449","35-44","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"450","55-64","جبل لبنان","Male","راضٍ(ية) تماماً","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"451","Under 25","جبل لبنان","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع دوائر صغرى","1620"
"452","25-34","جبل لبنان","Female","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"453","45-54","جبل لبنان","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع دوائر كبرى ","1620"
"454","45-54","جبل لبنان","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"455","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"456","35-44","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"457","45-54","جبل لبنان","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"458","35-44","جبل لبنان","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"459","25-34","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا جواب","1620"
"460","Under 25","جبل لبنان","Female","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"461","Under 25","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا جواب","1620"
"462","Under 25","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع دوائر صغرى","1620"
"463","NA","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا اعرف","1620"
"464","45-54","جبل لبنان","Male","غير راضٍ(ية","لا تهمّني السياسة","لا اعرف","1620"
"465","25-34","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا جواب","1620"
"466","Under 25","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"467","25-34","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"468","35-44","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع دوائر صغرى","1620"
"469","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع دوائر صغرى","1620"
"470","45-54","جبل لبنان","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1620"
"471","Under 25","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1620"
"472","45-54","جبل لبنان","Female","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع دوائر كبرى ","1620"
"473","35-44","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1620"
"474","25-34","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","لا جواب","1620"
"475","35-44","جبل لبنان","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا جواب","1620"
"476","45-54","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع دوائر صغرى","1620"
"477","25-34","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع دوائر صغرى","1620"
"478","Under 25","جبل لبنان","Male","إلى حدٍ ما","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","النسبية مع لبنان دائرة واحدة","1620"
"479","Under 25","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"480","45-54","جبل لبنان","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"481","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","NA","النسبية مع لبنان دائرة واحدة","1620"
"482","25-34","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع دوائر كبرى ","1620"
"483","25-34","جبل لبنان","Male","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع دوائر صغرى","1620"
"484","35-44","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1620"
"485","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"486","25-34","جبل لبنان","Female","راضٍ(ية) تماماً","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","النسبية مع دوائر صغرى","1620"
"487","25-34","جبل لبنان","Female","راضٍ(ية) تماماً","لا تهمّني السياسة","NA","1620"
"488","25-34","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1620"
"489","25-34","جبل لبنان","Female","غير راضٍ(ية","لا تهمّني السياسة","لا اعرف","1620"
"490","45-54","جبل لبنان","Female","غير راضٍ(ية","لا تهمّني السياسة","لا اعرف","1620"
"491","45-54","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع دوائر صغرى","1620"
"492","35-44","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"493","45-54","جبل لبنان","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"494","45-54","جبل لبنان","Female","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1620"
"495","Under 25","جبل لبنان","Female","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1620"
"496","45-54","جبل لبنان","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"497","Under 25","جبل لبنان","Female","غير راضٍ(ية","لا تهمّني السياسة","لا اعرف","1620"
"498","55-64","جبل لبنان","Female","إلى حدٍ ما","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","النسبية مع لبنان دائرة واحدة","1620"
"499","25-34","جبل لبنان","Male","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1620"
"500","Under 25","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1620"
"501","35-44","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"502","45-54","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"503","NA","جبل لبنان","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"504","25-34","جبل لبنان","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1620"
"505","45-54","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1620"
"506","35-44","جبل لبنان","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"507","55-64","جبل لبنان","Female","راضٍ(ية) تماماً","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"508","45-54","جبل لبنان","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"509","Under 25","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1620"
"510","35-44","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"511","25-34","جبل لبنان","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1620"
"512","25-34","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"513","35-44","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"514","35-44","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"515","35-44","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","غيره، حدد ","1620"
"516","45-54","جبل لبنان","Male","NA","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"517","45-54","جبل لبنان","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع دوائر صغرى","1620"
"518","25-34","جبل لبنان","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا جواب","1620"
"519","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"520","25-34","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"521","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"522","35-44","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"523","25-34","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1620"
"524","25-34","جبل لبنان","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","الأكثرية مع تصغير الدوائر","1620"
"525","35-44","جبل لبنان","Male","راضٍ(ية) تماماً","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","الأكثرية مع تصغير الدوائر","1620"
"526","35-44","جبل لبنان","Male","راضٍ(ية) تماماً","منتمي(ة) إلى حزب/تيار سياسي","الأكثرية مع تصغير الدوائر","1620"
"527","45-54","جبل لبنان","Male","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"528","55-64","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"529","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"530","45-54","جبل لبنان","Male","راضٍ(ية) تماماً","منتمي(ة) إلى حزب/تيار سياسي","الأكثرية مع تصغير الدوائر","1620"
"531","55-64","جبل لبنان","Male","راضٍ(ية) تماماً","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"532","45-54","جبل لبنان","Male","راضٍ(ية) تماماً","منتمي(ة) إلى حزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"533","45-54","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"534","45-54","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1620"
"535","25-34","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1620"
"536","35-44","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"537","55-64","جبل لبنان","Male","غير راضٍ(ية","لا تهمّني السياسة","لا اعرف","1620"
"538","25-34","جبل لبنان","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1620"
"539","25-34","جبل لبنان","Male","إلى حدٍ ما","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","النسبية مع دوائر كبرى ","1620"
"540","Under 25","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1620"
"541","35-44","جبل لبنان","Female","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1620"
"542","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1620"
"543","25-34","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1620"
"544","25-34","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1620"
"545","55-64","جبل لبنان","Male","NA","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1620"
"546","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1620"
"547","Under 25","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1620"
"548","65 and above","جبل لبنان","Male","راضٍ(ية) تماماً","لا تهمّني السياسة","لا اعرف","1620"
"549","25-34","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"550","45-54","جبل لبنان","Male","راضٍ(ية) تماماً","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع دوائر صغرى","1620"
"551","Under 25","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1620"
"552","45-54","جبل لبنان","Male","راضٍ(ية) تماماً","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","الأكثرية مع تصغير الدوائر","1620"
"553","45-54","جبل لبنان","Male","إلى حدٍ ما","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"554","45-54","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"555","45-54","جبل لبنان","Male","راضٍ(ية) تماماً","لا تهمّني السياسة","لا جواب","1620"
"556","NA","جبل لبنان","Male","راضٍ(ية) تماماً","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","الأكثرية مع تصغير الدوائر","1620"
"557","45-54","جبل لبنان","Male","راضٍ(ية) تماماً","لا تهمّني السياسة","النسبية مع دوائر صغرى","1620"
"558","35-44","جبل لبنان","Male","راضٍ(ية) تماماً","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع دوائر صغرى","1620"
"559","45-54","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع دوائر كبرى ","1620"
"560","45-54","جبل لبنان","Male","راضٍ(ية) تماماً","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","الأكثرية مع تصغير الدوائر","1620"
"561","45-54","جبل لبنان","Male","راضٍ(ية) تماماً","لا تهمّني السياسة","الأكثرية مع تصغير الدوائر","1620"
"562","35-44","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"563","65 and above","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","الأكثرية مع تصغير الدوائر","1620"
"564","35-44","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","NA","1620"
"565","25-34","جبل لبنان","Male","غير راضٍ(ية","لا تهمّني السياسة","NA","1620"
"566","45-54","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1620"
"567","NA","جبل لبنان","Male","غير راضٍ(ية","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","النسبية مع دوائر كبرى ","1620"
"568","25-34","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا جواب","1620"
"569","45-54","جبل لبنان","Male","راضٍ(ية) تماماً","لا تهمّني السياسة","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"570","35-44","جبل لبنان","Female","راضٍ(ية) تماماً","لا تهمّني السياسة","NA","1620"
"571","55-64","جبل لبنان","Male","راضٍ(ية) تماماً","لا تهمّني السياسة","لا جواب","1620"
"572","55-64","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع دوائر كبرى ","1620"
"573","25-34","جبل لبنان","Male","غير راضٍ(ية","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"574","35-44","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"575","35-44","جبل لبنان","Female","غير راضٍ(ية","NA","NA","1620"
"576","55-64","جبل لبنان","Male","غير راضٍ(ية","NA","النسبية مع لبنان دائرة واحدة","1620"
"577","45-54","جبل لبنان","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1620"
"578","25-34","جبل لبنان","Female","غير راضٍ(ية","لا تهمّني السياسة","NA","1620"
"579","55-64","جبل لبنان","Male","NA","لا تهمّني السياسة","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"580","Under 25","جبل لبنان","Male","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"581","Under 25","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1620"
"582","25-34","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1620"
"583","45-54","جبل لبنان","Female","غير راضٍ(ية","NA","NA","1620"
"584","Under 25","جبل لبنان","Male","غير راضٍ(ية","لا تهمّني السياسة","NA","1620"
"585","45-54","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا جواب","1620"
"586","Under 25","جبل لبنان","Male","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"587","35-44","جبل لبنان","Female","غير راضٍ(ية","لا تهمّني السياسة","NA","1620"
"588","25-34","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","NA","1620"
"589","45-54","جبل لبنان","Female","NA","لا تهمّني السياسة","NA","1620"
"590","25-34","جبل لبنان","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1620"
"591","35-44","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1620"
"592","45-54","جبل لبنان","Female","غير راضٍ(ية","لا تهمّني السياسة","NA","1620"
"593","45-54","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1620"
"594","35-44","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","لا جواب","1620"
"595","45-54","جبل لبنان","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1620"
"596","45-54","جبل لبنان","Male","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع دوائر صغرى","1620"
"597","Under 25","جبل لبنان","Female","راضٍ(ية) تماماً","لا تهمّني السياسة","لا جواب","1620"
"598","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","منتمي(ة) إلى حزب/تيار سياسي","لا اعرف","1620"
"599","25-34","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","NA","1620"
"600","45-54","جبل لبنان","Female","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1620"
"601","45-54","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1620"
"602","25-34","جبل لبنان","Male","إلى حدٍ ما","لا تهمّني السياسة","NA","1620"
"603","25-34","جبل لبنان","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"604","25-34","جبل لبنان","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"605","25-34","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"606","45-54","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"607","Under 25","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"608","55-64","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"609","25-34","جبل لبنان","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","الأكثرية مع تصغير الدوائر","1620"
"610","25-34","جبل لبنان","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا اعرف","1620"
"611","45-54","جبل لبنان","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع دوائر كبرى ","1620"
"612","45-54","جبل لبنان","Female","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1620"
"613","25-34","جبل لبنان","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"614","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا جواب","1620"
"615","35-44","جبل لبنان","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع دوائر كبرى ","1620"
"616","25-34","جبل لبنان","Male","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"617","55-64","جبل لبنان","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1620"
"618","25-34","جبل لبنان","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","NA","1620"
"619","25-34","جبل لبنان","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"620","45-54","جبل لبنان","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"621","35-44","جبل لبنان","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"622","35-44","جبل لبنان","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
"623","Under 25","جبل لبنان","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1620"
